"Shoppings","City","FbPage","FbID"
"North Shopping Jóquei ","Fortaleza ","https://www.facebook.com/NorthShoppingJoquei","NorthShoppingJoquei"
"Shopping Millennium","Manaus","https://www.facebook.com/millenniumshoppingoficial","millenniumshoppingoficial"
"Shopping Parangaba","Fortaleza ","https://www.facebook.com/ShoppingParangaba","ShoppingParangaba"
"Shopping Benfica","Fortaleza ","https://www.facebook.com/ShoppingBenfica","ShoppingBenfica"
"Del Paseo","Fortaleza ","https://www.facebook.com/shoppingdelpaseo","shoppingdelpaseo"
"Shopping Central","Fortaleza ","https://www.facebook.com/shoppingcentralemetro","shoppingcentralemetro"
"Shopping Center Um","Fortaleza ","https://www.facebook.com/CenterUmShopping","CenterUmShopping"
"Shopping Ponta Negra","Manaus","https://www.facebook.com/ShoppingPontaNegra","ShoppingPontaNegra"
"Amazonas Shopping","Manaus","https://www.facebook.com/amshopping","amshopping"
"Manaus Plaza Shopping","Manaus","https://www.facebook.com/manaus.plazaii","manaus.plazaii"
"Manauara Shopping","Manaus","https://www.facebook.com/manauarashop","manauarashop"
"Studio 5","Manaus","https://www.facebook.com/Studio5Shopping","Studio5Shopping"
"Boulevard Rio Shopping","Rio de Janeiro","https://www.facebook.com/BoulevardRioShopping","BoulevardRioShopping"
"NorteShopping","Rio de Janeiro","https://www.facebook.com/norteshoppingrj","norteshoppingrj"
"Shopping Nova América","Rio de Janeiro","https://www.facebook.com/ShoppingNovaAmerica","ShoppingNovaAmerica"
"Botafogo Praia Shopping","Rio de Janeiro","https://www.facebook.com/BotafogoPraiaShopping","BotafogoPraiaShopping"
"Riosul Shopping Center","Rio de Janeiro","https://www.facebook.com/riosulshoppingcenter","riosulshoppingcenter"
"Shopping Leblon","Rio de Janeiro","https://www.facebook.com/shoppingleblon","shoppingleblon"
"BarraShopping Oficial","Rio de Janeiro","https://www.facebook.com/BarraShoppingOficial","BarraShoppingOficial"
"Aliansce Shopping Centers","Rio de Janeiro","https://www.facebook.com/AliansceShoppingCenters","AliansceShoppingCenters"
"Casa & Gourmet Shopping","Rio de Janeiro","https://www.facebook.com/casaegourmetshopping","casaegourmetshopping"
"Casa Shopping","Rio de Janeiro","https://www.facebook.com/CasaShopping","CasaShopping"
"Shopping Metropolitano Barra","Rio de Janeiro","https://www.facebook.com/ShoppingMetropolitanoBarra","ShoppingMetropolitanoBarra"
"Via Parque","Rio de Janeiro","https://www.facebook.com/viaparque","viaparque"
"Center Shopping Rio","Rio de Janeiro","https://www.facebook.com/center.rio","center.rio"
"Bossa Nova Mal","Rio de Janeiro","https://www.facebook.com/bossanovamall","bossanovamall"
"Parque Shopping Sulacap","Rio de Janeiro","https://www.facebook.com/ParqueShoppingSulacap","ParqueShoppingSulacap"
"Shopping Nova America","Rio de Janeiro","https://www.facebook.com/ShoppingNovaAmerica","ShoppingNovaAmerica"
"Caxias Shopping","Rio de Janeiro","https://www.facebook.com/CaxiasShopping.Oficial","CaxiasShopping.Oficial"
"Madureira Shopping","Rio de Janeiro","https://www.facebook.com/madureirashopping","madureirashopping"
"Bangu Shopping","Rio de Janeiro","https://www.facebook.com/bangushopping","bangushopping"
"Rio Anil Shopping","São Luis","www.facebook.com/rioanilshopping","rioanilshopping"
"Shopping da Ilha","São Luis","www.facebook.com/ShoppingdaIlha","ShoppingdaIlha"
"São Luís Shopping","São Luis","www.facebook.com/SaoLuisShopping","SaoLuisShopping"
"Tropical Shopping","São Luis","www.facebook.com/tropicalshopping","tropicalshopping"
"Golden Shopping Calhau","São Luis","www.facebook.com/GoldenShoppingCalhau","GoldenShoppingCalhau"
